composite_rank,composite_score,source_type,opportunity_name,edition_or_route,location,mode,event_start_date,cfp_status,deadline_date,primary_talk_id,primary_talk,backup_talk_id,topic_fit,known_points,evidence_coverage_percent,effective_fit_score,fit_penalty,location_preference,location_basis,application_ease,ease_basis,popularity_score,popularity_basis,timing_score,timing_basis,application_route,next_action,constraints_unknowns,source_url
38,2.045,community/meetup,Develop Denver,Denver/Colorado,Denver and online,remote/online,,public form/contact route,,product-engineering,The Future of Product Engineering,,"Product, Judgment, Failure, Adaptive, and Education",82,80,65.6,2.38,1,Remote or online participation is available.,2,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,3,Public organizer/platform signal of at least 654.,3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,Talks are submitted and community-voted; use Message organizer or the public Discord on the Meetup page. No current form found.,Review the public route and decide whether to prepare the indicated talk or demo format.,,https://www.meetup.com/develop-denver/
39,2.048,conference/event,AgenticCon,AgenticCon 2027,"San Francisco, USA",in-person,2027-02-25,open,2026-10-04,retrieval,From RAGs to Retrievals,,"Current CFP explicitly requests context, capability, execution, evaluation, security, and observability.",78.0,90.0,70.2,2.19,1,Exact preferred city.,2,Standard public proposal or organizer route with no hard requirement found.,2,Public organizer/platform signal of at least 300.,2,Confirmed deadline in 29 days.,"Title <=90 characters, 250-character description, 800-character third-person abstract; no vendor pitch",Seek organizer correction before relying on either deadline; prepare the 25-minute version meanwhile.,"FINALIST; same official page has conflicting deadlines and notifications; real incidents desired but supplied deck uses hypotheticals | Same CFP page gives both October 4 and November 1 deadlines and both October 20 and November 17 notifications; economics, rights, accessibility, travel",https://agenticcon.com/cfp
40,2.06,conference/event,Sparking Success Faculty Development Conference,Sparking Success 2027,"New Orleans, United States",in-person,2027-01-06,open,2026-10-20,evidence-learning,"Outsmart Your Lying, Cheating Students",,"Small faculty-development conference has clear appetite for evidence-of-learning and AI topics, with a public application route.",82.0,84.0,68.9,2.24,1,Exact preferred city.,2,Standard public proposal or organizer route with no hard requirement found.,2,Recurring program or sponsor/history evidence is visible; no strong comparable audience count was found.,2,Confirmed deadline in 45 days.,Application route linked; detailed fields not captured,Confirm external-presenter eligibility through the public conference contact before investing in the application.,"FINALIST; deadline year inferred from page context; external presenter eligibility and costs unknown | Deadline year is inferred from the 2026-27 page context; external eligibility, economics, rights, accessibility, and format duration unknown.",https://celt.tulane.edu/sparking-success
41,2.067,conference/event,UXDX,UXDX New York 2027,"New York, United States",hybrid,2027-05-10,open,2026-12-10,product-engineering,The Future of Product Engineering,judgment,The event language nearly mirrors the talk thesis and current agenda contains direct topic precedent.,87.0,90.0,78.3,1.87,1,Exact preferred city.,2,Standard public proposal or organizer route with no hard requirement found.,2,Recurring program or sponsor/history evidence is visible; no strong comparable audience count was found.,3,Confirmed deadline in 96 days.,"Story of real change, title, description, decisions/tradeoffs/failures, takeaways, job/company/location.",Only target main stage if Dan has a truthful qualifying case; otherwise use the always-open local stage.,"Main stage expects a real in-house case with outcomes; current synthetic proposed design may not qualify. | Dan's in-house seniority and qualifying real case are unknown; economics, rights and accessibility unknown.",https://uxdx.com/speak/
42,2.078,conference/event,Hi AI!,Hi AI! 2027,virtual,virtual,2027-01-14,open,2026-10-12,skeptic-education,A Skeptic's Guide to Surviving AI in Education,,"Focused AI event explicitly solicits AI assessment practices, literacy, ethics, policy, personalization, and practical experience",81.0,83.0,67.2,2.31,1,Remote or online participation is available.,2,Standard public proposal or organizer route with no hard requirement found.,2,Recurring program or sponsor/history evidence is visible; no strong comparable audience count was found.,2,Confirmed deadline in 37 days.,Title max 10 words; description max 350 words; target audience; actionable learning objectives,Confirm Dan can credibly supply K-12 examples; then adapt title to 10 words and description to 350 words by 2026-10-12,"K-12 grounding and real-world experience are expected; Dan's school-sector credentials are unknown; economics not stated | Speaker cost, compensation, rights, accessibility, and whether an out-of-state non-school practitioner is competitive remain unknown",https://www.ltcillinois.org/hiai/rfp/
43,2.095,community/meetup,DevOpsDays Rockies,Denver/Colorado,Denver; in person,in-person,2026-09-22,public form/contact route,,failure-improvement,Automating Improvement From Failure,,"Failure, Adaptive, Benchmarks, Parallelization, Product, and Judgment",82,80,65.6,2.38,1,Exact preferred city.,3,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,4,"Public organizer/platform signal of at least 2,245.",3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,2026 CFP is closed. Monitor the official community site and Pretalx CFP archive; organizers explicitly offered proposal help and local writing meetups,Review the public route and decide whether to prepare the indicated talk or demo format.,,https://denverdevops.org/
44,2.095,community/meetup,ProductTank Chicago,Preferred US cities,Chicago; in person,in-person,,public form/contact route,,product-engineering,The Future of Product Engineering,,"Product, Judgment, Failure, Free tier, Adaptive, and Benchmarks",82,80,65.6,2.38,1,Exact preferred city.,3,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,4,"Public organizer/platform signal of at least 4,881.",3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,Join Mind the Product's public speaker directory or message the local organizers. Speaker route · chapter,Review the public route and decide whether to prepare the indicated talk or demo format.,"Current calendar, local review process, duration, and speaker economics.",https://www.mindtheproduct.com/producttank/
45,2.095,community/meetup,ProductTank Los Angeles,Preferred US cities,Los Angeles/Pasadena; in person,in-person,2026-09-09,public form/contact route,,product-engineering,The Future of Product Engineering,,"Product, Judgment, Failure, Free tier, Adaptive, and Benchmarks",82,80,65.6,2.38,1,Exact preferred city.,3,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,4,"Public organizer/platform signal of at least 2,552.",3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,Join the public ProductTank speaker directory; the local Meetup also supports organizer messaging. Speaker route · chapter,Review the public route and decide whether to prepare the indicated talk or demo format.,"Local speaker review cadence, slot length, economics, and whether the September program is already final.",https://www.mindtheproduct.com/producttank/
46,2.137,conference/event,AI Agent Event,AI Agent Event 2027,"Fort Lauderdale, United States",in-person,2027-02-09,open,2026-09-09,benchmarks,Stop Looking at My Benchmarks,adaptive-systems,"Official CFP explicitly includes testing/evaluation, monitoring/optimization, performance benchmarking, and cost optimization",98.0,93.0,91.1,1.35,2,Near a preferred city or within the Denver/Front Range area.,4,"Requires recordings, membership/co-presenter status, real evidence, a demo, or substantial extra material.",4,Established recurring conference or community series with visible program history.,1,Confirmed deadline in 4 days.,"Educational, noncommercial, non-self-promotional; headshot and bio; claims new concepts unavailable elsewhere",Recheck deadline and novelty terms immediately; build system-level agent variant,"Deadline is urgent; novel-concepts clause and commercial adjacency need review; duration unknown | Travel/hotel, honorarium, accessibility, recording rights, session duration, and meaning/enforceability of novelty clause unknown. | Deadline time zone, travel, compensation, rights, accessibility, and exact durations unknown | Deadline year inferred from 2027 page context; talk duration, travel, honorarium, rights, accessibility, and Dan's qualifying deployment experience | MERGE CONFLICTS/VARIANTS — date_status: exact | confirmed; country: United States | USA; eligibility: Enterprise practitioners, AI developers, innovators, researchers, solution providers, and leaders with real-world agent experience | Editorial, non-commercial material; novel concepts clause | Seeks enterprise practitioners, developers, researchers, providers, and leaders with real deployment experience; formats_and_durations: Case study, technical session, workshop, or panel; duration not stated | Case study; technical session; workshop; panel; durations unknown | unknown; submission_requirements: Educational, noncommercial, non-self-promotional; headshot and bio; claims new concepts unavailable elsewhere | Title, abstract, biography, and committee review | Headshot, full bio, title, and description; strict no-commercialism policy; compensation: Complimentary all-access speaker pass stated as USD 1,799 value | Complimentary all-access pass | unknown; speaker_costs: No mandatory registration stated for selected speakers | No pay-to-speak found | Complimentary all-access speaker pass; attendance_value: Pass advertised at USD 1,799 value | 1000 | Organizer claims 1,000 attendees; verified_at: 2026-09-04T12:00:00-06:00 | 2026-09-04T23:30:00-06:00 | 2026-09-04T23:00:00-06:00",https://www.aiagentevent.com/east/call-for-speakers.aspx
47,2.145,community/meetup,Boulder Ruby,Denver/Colorado,Boulder; in person or remote,remote/online,,public form/contact route,,product-engineering,The Future of Product Engineering,,"Product, Judgment, Failure, Parallelization, Adaptive; needs a software-development or Ruby-adjacent framing",82,80,65.6,2.38,1,Remote or online participation is available.,1,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,1,Little public popularity evidence beyond the event or route itself.,3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,The group says it is always looking for speakers and publishes a direct email/contact route. Presenting details,Review the public route and decide whether to prepare the indicated talk or demo format.,,https://boulder-ruby.org/#presenting
48,2.145,community/meetup,AI Tinkerers Miami,Preferred US cities,Miami; in person,in-person,,public form/contact route,,adaptive-systems,Building Adaptive & Dynamic AI Systems,,"Adaptive, Retrieval, Benchmarks, Parallelization, and Failure as live demos",82,80,65.6,2.38,1,Exact preferred city.,4,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,5,"Public organizer/platform signal of at least 125,000 members, registrations, attendees, or reach.",3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,"Use the event-specific demo proposal when exposed. The 2026 kickoff requested approximately five-minute live implementations, no deck, with one architecture diagram allowed. Miami chapter · proposal example",Review the public route and decide whether to prepare the indicated talk or demo format.,"Chapter cadence, next date, current intake, acceptance timing, and travel-speaker policy.",https://miami.aitinkerers.org/
49,2.145,community/meetup,DataTalks.Club,Overseas from March 2027,Global remote,remote/online,,public form/contact route,,retrieval,From RAGs to Retrievals,,"RT, BM, AS, FI, PA, JU",82,80,65.6,2.38,1,Remote or online participation is available.,4,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,5,"Public organizer/platform signal of at least 94,000 members, registrations, attendees, or reach.",3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,"Public community/contact channels; webinar, workshop and podcast formats are documented, but no standing speaker form was found",Review the public route and decide whether to prepare the indicated talk or demo format.,"Route is contact-based rather than a verified open CFP; selection, duration and compensation unknown. community, formats, GitHub community profile",https://datatalks.club/
50,2.16,conference/event,PlatformCon Live Day San Francisco,PlatformCon Live Day San Francisco 2027,"San Francisco, United States",in-person,2027-02-24,open,2026-10-04,parallelization,Rethinking Parallelization in the Agentic Era,failure-improvement,"Platform audience and archived agent/platform sessions are excellent, but the named-production-case requirement may block the supplied conceptual talk.",89.0,100.0,89.0,1.44,1,Exact preferred city.,5,"Hard credential, publication, domain, or firsthand-evidence requirement.",4,Established recurring conference or community series with visible program history.,2,Confirmed deadline in 29 days.,Case-study proposal with concrete implementation and outcomes.,Only proceed if Dan can document the required implementation and outcomes; otherwise retain as a monitored fit.,"Requires a named organization, real implementation and outcomes; no travel expenses; official deadline times conflict. | Dan's ability to name an organization and evidence outcomes is unknown and may be a hard barrier. Rights and accessibility unknown. Official pages conflict on deadline time/timezone. | CFP form/status/deadline, formats, economics, rights; page has a CFP label but that alone does not prove open | Deadline says 12:59 PM EST despite San Francisco venue; speaker economics, rights, accessibility, and travel unknown | MERGE CONFLICTS/VARIANTS — edition_label: PlatformCon Live Day San Francisco 2027 | PlatformCon San Francisco 2027; end_date: 2027-02-24 | 2027-02-25; country: United States | USA; cfp_url: https://sessionize.com/platformcon-live-day-san-francisco/ | https://sanfrancisco.platformcon.com/ | https://sanfrancisco.platformcon.com/cfp; guidelines_url: https://sanfrancisco.platformcon.com/cfp | https://sanfrancisco.platformcon.com/; cfp_status: open | unknown; eligibility: Practitioner-only; proposals should describe real implementations, named organizations and outcomes; multiple proposals allowed. | unknown; formats_and_durations: 25-minute talk | unknown; submission_requirements: Case-study proposal with concrete implementation and outcomes. | unknown | Practical enterprise platform story; further form fields not extracted; compensation: No honorarium stated. | unknown; travel_support: No travel expenses covered. | unknown; attendance_value: 300+ advertised | 300+ displayed on event page without a fully extracted unit | 300 practitioners claimed; verified_at: 2026-09-04T12:00:00-06:00 | 2026-09-05T00:05:00-06:00",https://sessionize.com/platformcon-live-day-san-francisco/
51,2.178,conference/event,DevOpsDays Los Angeles,DevOpsDays Los Angeles 2027,"Pasadena, USA",in-person,2027-04-02,conflicting-official-pages,2026-11-01,free-tier,Cry Me a Free Tier,retrieval,The indexed current call explicitly named token economics and FinOps; the rendered local page retains platform/reliability fit.,82.0,82.0,67.2,2.31,2,Near a preferred city or within the Denver/Front Range area.,2,Standard public proposal or organizer route with no hard requirement found.,4,Established recurring conference or community series with visible program history.,3,Confirmed deadline in 57 days.,Title and description through SCaLE submission route,"Recheck the SCaLE form and official local page; if both show 2027 intake, prepare the 40-minute version.",FINALIST; official pages conflict on open status; local experience favored; do not treat deadline as actionable until reconciled | Local page says CFP TBD while global speaking index labels it open and provides a 2026-11-01 deadline; economics and rights unknown | Local page says CFP TBD while global index labels open and gives 2026-11-01 deadline; economics and rights unknown | MERGE CONFLICTS/VARIANTS — eligibility: Speaker must submit directly; local stories favored; no vendor pitches | Direct speaker involvement; local stories favored; no vendor pitches; formats_and_durations: 30-40-minute talk; 10-minute lightning; Open Space | 30–40-minute talk; 10-minute lightning; Open Space; submission_requirements: Title and description through SCaLE submission route | SCaLE submission route,https://devopsdays.org/events/2027-los-angeles/propose/
52,2.195,community/meetup,AI Friday New Orleans,Preferred US cities,New Orleans; monthly in person,in-person,2026-09-18,public form/contact route,,skeptic-education,A Skeptic's Guide to Surviving AI in Education,,"Education, Product, Judgment, Free tier, and accessible versions of Adaptive or Failure",82,80,65.6,2.38,1,Exact preferred city.,2,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,2,Recurring program or sponsor/history evidence is visible; no strong comparable audience count was found.,3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,No speaker form is published. Use the public email or community Slack listed under Get in Touch to ask about a future working-session contribution. AI Friday,Review the public route and decide whether to prepare the indicated talk or demo format.,"Audience size, talk format, speaker selection, location, and whether guest presentations are part of the September meeting.",https://aifri.day/
53,2.195,community/meetup,Denver Data Science Professionals (DDSP),Denver/Colorado,Galvanize Denver; approximately bimonthly,in-person,,public form/contact route,,benchmarks,Stop Looking at My Benchmarks,,"Benchmarks, Retrieval, Adaptive, Parallelization, and Failure",82,80,65.6,2.38,1,Exact preferred city.,2,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,2,Recurring program or sponsor/history evidence is visible; no strong comparable audience count was found.,3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,Official page invites presenters to contact organizers and publishes their contact details. Presenter route,Review the public route and decide whether to prepare the indicated talk or demo format.,,https://www.denverdatascienceprofessionals.com/
54,2.195,community/meetup,ProductCamp Austin,Preferred US cities,Austin; annual in-person unconference,in-person,2026-09-19,public form/contact route,,product-engineering,The Future of Product Engineering,,"Product, Judgment, Failure, Free tier, Education, and accessible versions of Adaptive or Benchmarks",82,80,65.6,2.38,1,Exact preferred city.,2,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,2,Recurring program or sponsor/history evidence is visible; no strong comparable audience count was found.,3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,"Public Submit a Session route. One proposal per person; sessions are thirty minutes including Q&A, followed by a thirty-second pitch and attendee vote. ProductCamp Austin",Review the public route and decide whether to prepare the indicated talk or demo format.,"Submission cutoff, registration capacity, remote participation, and whether non-local proposals are common.",https://www.productcampaustin.org/
55,2.195,conference/event,SaaStr AI Annual,SaaStr AI Annual 2027,"San Mateo, USA",in-person,2027-05-11,rolling,,free-tier,Cry Me a Free Tier,,Founders and B2B AI operators are direct beneficiaries; public apply-to-speak route is linked and reviewed on a rolling basis.,88.0,80.0,70.4,2.18,2,Near a preferred city or within the Denver/Front Range area.,3,"Standard CFP plus registration, assets, review, or meaningful format adaptation.",5,"Public organizer/platform signal of at least 10,000 members, registrations, attendees, or reach.",3,Open or rolling route without a confirmed actionable deadline.,unknown,Inspect the interactive application and pitch a tactical founder workshop only if Dan's role and experience satisfy the form.,"FINALIST; application details did not render; workshop version requires adaptation; no invented founder credentials or company-stage claims | Application deadline, selection rules, speaker costs/travel/rights, and whether talk is sufficiently founder/GTM oriented",https://www.saastrannual.com/speaker-submission
56,2.218,conference/event,Tokenomicon + FinOps X,Tokenomicon + FinOps X 2027,"San Diego, USA",in-person,2027-06-07,announced-not-open,,free-tier,Cry Me a Free Tier,,"Prior official guide explicitly asks for FinOps for AI, token-based cost models, unit economics, and data-driven outcomes.",87.0,90.0,78.3,1.87,1,Exact preferred city.,2,Standard public proposal or organizer route with no hard requirement found.,1,Little public popularity evidence beyond the event or route itself.,3,Open or rolling route without a confirmed actionable deadline.,Prior cycle demands actionable points and real-world examples/data,Build a citation-backed synthetic demo now; monitor for 2027 rules and use lightning format if practitioner status is not met.,FINALIST; 2027 call not open; breakout eligibility likely practitioner/end-user; talk currently lacks a proprietary case study and real-world organizational data | 2027 CFP dates/rules; Dan's practitioner/end-user status; real-world data permissions; all economics and travel,https://www.tokenomicon.com/
57,2.22,conference/event,POSSIBLE,POSSIBLE 2027,"Miami Beach, United States",in-person,2027-04-05,open,2026-12-11,judgment,Code Is Cheap. Judgment Is Expensive.,product-engineering,"Open editorial route and leadership audience are usable, but the program is marketing-heavy.",70.0,90.0,63.0,2.48,1,Exact preferred city.,2,Standard public proposal or organizer route with no hard requirement found.,2,Recurring program or sponsor/history evidence is visible; no strong comparable audience count was found.,3,Confirmed deadline in 97 days.,"Original idea, research, case study or forward-looking perspective; editorial application.",Use only the editorial form if Dan truthfully fits the stated audience; submit by December 11.,"Eligibility emphasizes brand/marketing leaders, founders and innovators; solution providers are routed to sales. | Dan's founder/innovator eligibility, format, economics, rights, accessibility and attendance unknown; marketing audience is indirect.",https://possibleevent.com/speaker-opportunities/
58,2.24,conference/event,Teaching and Learning with AI Conference,Teaching and Learning with AI 2027,"Orlando, United States",in-person,2027-06-01,announced-not-open,2027-01-22,skeptic-education,A Skeptic's Guide to Surviving AI in Education,evidence-learning,Conference is devoted to AI in higher-ed teaching and has prior sessions on AI-resilient courses and assessment; thesis is directly on target,91.0,100.0,91.0,1.36,1,Exact preferred city.,3,"Standard CFP plus registration, assets, review, or meaningful format adaptation.",2,Recurring program or sponsor/history evidence is visible; no strong comparable audience count was found.,4,Confirmed deadline in 139 days.,Guidelines not yet published,Prepare now; recheck full guidelines when the call opens 2026-10-05 and submit by 2027-01-22 if eligibility/economics work,"In-person only; presenter registration required; guidelines and presenter price not yet published | CFP opens 2026-10-05; exact submission fields, travel support, compensation, rights, accessibility, and presenter fee unknown. | Submission schema, eligibility, presenter price, compensation, travel, rights, accessibility, and Dan's affiliation unknown | MERGE CONFLICTS/VARIANTS — country: United States | USA; eligibility: Higher-education professionals, researchers, and policymakers; detailed 2027 eligibility forthcoming | Higher-education practitioners, researchers, and policymakers; K-12 educators also encouraged; formats_and_durations: 30-minute concurrent slots visible in agenda-at-a-glance; other formats forthcoming | 2027 agenda shows 30-minute concurrent sessions; full guidelines pending; submission_requirements: Guidelines not yet published | Guidelines not yet posted; travel_support: Not stated | unknown; attendance_value: International higher-education AI teaching audience; attendance not verified | International higher-education AI-specialist audience; fifth annual edition; verified_at: 2026-09-04T12:00:00-06:00 | 2026-09-04T23:00:00-06:00",https://aiforall.ucf.edu/teachwithai/
59,2.25,conference/event,A4Q Testing Summit,A4Q Testing Summit 2027,online,online,2027-04-27,open-undated,,failure-improvement,Automating Improvement From Failure,parallelization,"Testing/quality audience and online delivery remove travel uncertainty, but key CFP details are undated.",75.0,100.0,75.0,2.0,1,Remote or online participation is available.,2,Standard public proposal or organizer route with no hard requirement found.,1,Little public popularity evidence beyond the event or route itself.,3,Open or rolling route without a confirmed actionable deadline.,Title and short abstract requested.,Inspect the speaker flow for duration and selection timing; prepare but do not treat as deadline-driven.,"No deadline or duration; no past-session evidence captured; language-track placement unknown. | Deadline, duration, recording rights, accessibility, platform, audience size and selection rules unknown.",https://testingsummit.com/
60,2.29,conference/event,Product-Led Summit,Product-Led Summit Seattle 2027,"Seattle, United States",in-person,2027-06-16,open-undated,,product-engineering,The Future of Product Engineering,judgment,"Direct product-led, activation, experimentation and AI-product audience with strong precedent.",79.0,90.0,71.1,2.16,1,Exact preferred city.,2,Standard public proposal or organizer route with no hard requirement found.,1,Little public popularity evidence beyond the event or route itself.,3,Open or rolling route without a confirmed actionable deadline.,"Speaker-interest form with identity, title, company and business email; proposal fields not exposed on first step.","Prepare the 30-minute abstract, then use the route only after confirming Dan's company/business-email facts.","Undated interest form requires company and business email; selection/economics unknown. | Deadline, full requirements, economics, accessibility, rights, and Dan's company/business-email eligibility unknown.",https://world.productledalliance.com/location/seattle/requesttospeak
61,2.325,conference/event,DX Annual,DX Annual San Francisco 2027,"San Francisco, United States",in-person,2027-05-06,announced-not-open,,judgment,Code Is Cheap. Judgment Is Expensive.,product-engineering,"CTO/VP and developer-productivity audience is exact, but speakers must have led major organizational change and use real data.",75.0,90.0,67.5,2.3,1,Exact preferred city.,2,Standard public proposal or organizer route with no hard requirement found.,1,Little public popularity evidence beyond the event or route itself.,3,Open or rolling route without a confirmed actionable deadline.,Practical lessons and real-world experience driving developer productivity and AI initiatives.,Monitor the announced fall call and exclude if the evidence requirement cannot be met.,"Speaker call announced but not open; Dan's qualifying leadership role, organizational-change case and real data are unknown. | Application not open; Dan's organizational-change credentials, economics, format and accessibility unknown.",https://getdx.com/dxannual/
62,2.33,community/meetup,Tech Alley Vegas,Preferred US cities,"Downtown Las Vegas; third Saturday monthly, in person",in-person,2026-09-19,public form/contact route,,product-engineering,The Future of Product Engineering,,"All ten, routed to the appropriate constituent meetup; strongest for Product, Free tier, Judgment, Adaptive, and Failure",90,80,72.0,2.12,1,Exact preferred city.,3,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,2,Public organizer/platform signal of at least 150.,3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,"Use Tech Alley's public community/partner route or approach a listed constituent meetup for an agenda slot. It is a “meetup of meetups,” not one editorial stage. Official site · Meetup",Review the public route and decide whether to prepare the indicated talk or demo format.,"Which September track still has space, session lengths by subgroup, and whether out-of-town talks are accepted.",https://www.techalley.org/
63,2.335,conference/event,Lilly Conference San Diego,Lilly San Diego 2027,"San Diego, United States",in-person,2027-01-07,open,2026-10-01,skeptic-education,A Skeptic's Guide to Surviving AI in Education,evidence-learning,"Edition theme is active and engaged learning in the age of AI; Lilly values scholarship, participation, and immediate teaching use",86.0,83.0,71.4,2.14,1,Exact preferred city.,5,"Hard credential, publication, domain, or firsthand-evidence requirement.",4,Established recurring conference or community series with visible program history.,2,Confirmed deadline in 26 days.,Blind peer review; expected scholarly/evidence-based teaching contribution,"Open the linked proposal flow, verify presenter terms, and submit before 2026-10-01 if no affiliation barrier","Exact CFP form, format, speaker costs, and affiliation expectations not exposed in reviewed page; two comparable prior sessions not located | Deadline is verified but submission requirements, formats, economics, rights, accessibility, and two specific past-session examples remain unknown. | CFP form URL, session durations, fees, travel, rights, accessibility, and Dan's institutional affiliation are unknown | MERGE CONFLICTS/VARIANTS — country: United States | USA; cfp_url: https://www.lillyconferences-ca.com/ | https://www.lillyconferences.com/; guidelines_url: https://www.lillyconferences-ca.com/ | https://www.lillyconferences.com/; eligibility: Higher-education teaching-and-learning contributors; exact presenter credential rules not found | Faculty, administrators, and graduate students are invited; exact eligibility not captured; formats_and_durations: Exact 2027 session formats/durations not found in accessible page | Formats not captured from reviewed page; attendance_value: Series reports 125+ colleges/universities and 30+ states per conference | Teaching for Active & Engaged Learning in the Age of AI; attendance_year: 2026 | 2027; verified_at: 2026-09-04T12:00:00-06:00 | 2026-09-04T23:00:00-06:00",https://www.lillyconferences-ca.com/
64,2.362,conference/event,Conf42,Conf42 AI Agents 2027,Global,online,,unknown,,adaptive-systems,Building Adaptive & Dynamic AI Systems,,"2026 AI Agents program included orchestration, retry-budget failures, readiness frameworks, trust, and production architecture.",84.0,70.0,58.8,2.65,1,Remote or online participation is available.,2,Standard public proposal or organizer route with no hard requirement found.,2,Recurring program or sponsor/history evidence is visible; no strong comparable audience count was found.,4,"Announced, undated, or route status still needs confirmation.",Prerecorded/online mechanics inferred from series format but not confirmed for 2027,"Open the edition-specific 2027 page when published and verify deadline, duration, recording license, and whether applications are actually open.","2027 date/intake/deadline and rights were not verified; prerecorded mechanics need confirmation. | Event date and deadline were not captured from the official edition page; do not treat generic CFP label as open. | Date, CFP status/deadline, duration, economics, rights, and accessibility unknown | MERGE CONFLICTS/VARIANTS — edition_url: https://www.conf42.com/agents2027 | https://www.conf42.com/; date_status: unconfirmed | unknown; mode: online | remote; submission_requirements: Prerecorded/online mechanics inferred from series format but not confirmed for 2027 | Edition appears in series navigation; intake details not verified; verified_at: 2026-09-04T23:00:00-06:00 | 2026-09-04T23:30:00-06:00",https://www.conf42.com/
65,2.395,community/meetup,Cloud Native Sydney,Overseas from March 2027,"Sydney, Australia; in person/occasional virtual",remote/online,,public form/contact route,,failure-improvement,Automating Improvement From Failure,,"FI, AS, RT, BM, PA, technical JU",82,80,65.6,2.38,1,Remote or online participation is available.,3,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,2,Recurring program or sponsor/history evidence is visible; no strong comparable audience count was found.,3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,Official event text says topic suggestions and speaker volunteers are welcome; organizer contact is public,Review the public route and decide whether to prepare the indicated talk or demo format.,"No standing form, future date, member count, duration or support details were verified. official chapter event and speaker invitation",https://community.cncf.io/events/details/cncf-cloud-native-sydney-presents-cloud-native-sydney-cncf-meetup-19th-march/
66,2.395,community/meetup,Colorado Startup Week,Denver/Colorado,"Downtown Denver; in person, free",in-person,2026-09-14,public form/contact route,,product-engineering,The Future of Product Engineering,,"Product, Judgment, Free tier, Education, Adaptive, and Benchmarks for founders/operators",82,80,65.6,2.38,1,Exact preferred city.,3,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,2,Recurring program or sponsor/history evidence is visible; no strong comparable audience count was found.,3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,"2026 programming is set. The official site offers independent community events, venue-host and volunteer routes, plus info@costartupweek.com; no currently open speaker form was found. Get involved",Review the public route and decide whether to prepare the indicated talk or demo format.,,https://www.costartupweek.com/get-involved
67,2.395,community/meetup,MLOps Community London / European chapters,Overseas from March 2027,"London plus Amsterdam, Munich, Edinburgh, Helsinki, Milan, Lisbon and other chapters; in person and online",remote/online,,public form/contact route,,failure-improvement,Automating Improvement From Failure,,"FI, AS, RT, BM, PA, technical JU",82,80,65.6,2.38,1,Remote or online participation is available.,3,Researcher-rated route and format effort; 1 is easiest and 5 is hardest.,2,Recurring program or sponsor/history evidence is visible; no strong comparable audience count was found.,3,Recurring or contact-based route; the next listed event is not proof that a speaker slot remains open.,"Join the global community/Slack; speaker suggestions and chapter event contacts are public, but no universal proposal form was verified",Review the public route and decide whether to prepare the indicated talk or demo format.,"Chapter-specific route, duration, selection and expenses unknown. Do not assume global membership equals local attendance. MLOps Community, official event archive, London waitlist example",https://mlops.community/
68,2.41,conference/event,Florida Online Innovation Summit,Florida Online Innovation Summit 2027,"Orlando, USA",in-person,2027-04-27,announced-not-open,2026-11-06,skeptic-education,A Skeptic's Guide to Surviving AI in Education,,Audience and format match; proposal explicitly asks about impact and measurement; archive contains human-in-loop and AI teaching-assistant sessions,84.0,100.0,84.0,1.64,1,Exact preferred city.,4,"Requires recordings, membership/co-presenter status, real evidence, a demo, or substantial extra material.",2,Recurring program or sponsor/history evidence is visible; no strong comparable audience count was found.,3,Confirmed deadline in 62 days.,"50-word abstract, 500-word description, impact and measurement, presenter data, audience, format",Prepare a case-study version with explicit pilot metrics; verify Dan's vendor status and submit after 2026-09-28 by 2026-11-06,"Must present an innovation/practice and how impact is measured; vendor status may trigger co-presenter rule; onsite costs unknown | Dan's vendor/institutional status, travel, compensation, rights, accessibility, and presenter discount unknown",https://digitallearning.ucf.edu/ilab/innovation-summit/proposals/
