talk_id,source_edition_id,consolidated_edition_id,edition_label,source_event_id
parallelization,ed-pa-pydata-venice26,ed-evt-pydata-venice-pydata-venice-2026-series,PyData Venice 2026 series,evt-pa-pydata-venice
benchmarks,ed-qcon-london-2027,ed-evt-qcon-london-qcon-london-2027,QCon London 2027,evt-qcon-london
retrieval,ed-qcon-london-2027,ed-evt-qcon-london-qcon-london-2027,QCon London 2027,ev-qcon-london
retrieval,ed-qcon-sf-2026,ed-evt-qcon-san-francisco-qcon-san-francisco-2026,QCon San Francisco 2026,ev-qcon-sf
benchmarks,ed-qualityland-2027,ed-evt-quality-land-quality-land-2027,Quality Land 2027,evt-qualityland
failure-improvement,ed-fi-qualityland27,ed-evt-quality-land-quality-land-2027,Quality Land 2027,evt-fi-qualityland
parallelization,ed-pa-qualityland27,ed-evt-quality-land-quality-land-2027,Quality Land 2027,evt-pa-qualityland
free-tier,ed-saastock-eu-2027,ed-evt-saastock-europe-ai-growth-summit-ai-growth-summit-europe-2027,AI Growth Summit Europe 2027,ev-saastock-eu
free-tier,ed-saastock-us-2027,ed-evt-saastock-usa-ai-growth-summit-ai-growth-summit-usa-2027,AI Growth Summit USA 2027,ev-saastock-us
free-tier,ed-saastr-2027,ed-evt-saastr-ai-annual-saastr-ai-annual-2027,SaaStr AI Annual 2027,ev-saastr
adaptive-systems,ed-softwarearch-vienna-rolling,ed-evt-softwarearchitektur-wien-softwarearchitektur-wien-meetup-route,Softwarearchitektur Wien meetup route,evt-softwarearch-vienna
evidence-learning,ed-tulane-sparking-2027,ed-evt-sparking-success-faculty-development-conference-sparking-success-202,Sparking Success 2027,ev-tulane-sparking
free-tier,ed-srecon-next,ed-evt-srecon-americas-srecon-americas-next-cycle,SREcon Americas next cycle,ev-srecon
adaptive-systems,ed-srecon-americas-2027,ed-evt-srecon-americas-srecon27-americas,SREcon27 Americas,evt-srecon-americas
benchmarks,ed-srecon-2027,ed-evt-srecon-americas-srecon27-americas,SREcon27 Americas,evt-srecon
failure-improvement,ed-fi-srecon27,ed-evt-srecon-americas-srecon27-americas,SREcon27 Americas,evt-fi-srecon
parallelization,ed-pa-srecon27,ed-evt-srecon-americas-srecon27-americas,SREcon27 Americas,evt-pa-srecon
retrieval,ed-srecon-2027,ed-evt-srecon-americas-srecon27-americas,SREcon27 Americas,ev-srecon
benchmarks,ed-stareast-2027,ed-evt-stareast-stareast-2027,STAREAST 2027,evt-stareast
skeptic-education,ed-stlhe-2027,ed-evt-stlhe-annual-conference-stlhe-2027,STLHE 2027,evt-stlhe
failure-improvement,ed-fi-swiss27,ed-evt-swiss-testing-day-swiss-testing-day-2027,Swiss Testing Day 2027,evt-fi-swiss-testing-day
parallelization,ed-pa-swiss27,ed-evt-swiss-testing-day-swiss-testing-day-2027,Swiss Testing Day 2027,evt-pa-swiss-testing-day
skeptic-education,ed-sxswedu-2027,ed-evt-sxsw-edu-conference-and-festival-sxsw-edu-2027,SXSW EDU 2027,evt-sxsw-edu
benchmarks,ed-ttc-2027,ed-evt-taqelah-testing-conference-taqelah-testing-conference-2027,TTC 2027,evt-ttc
failure-improvement,ed-fi-ttc27,ed-evt-taqelah-testing-conference-taqelah-testing-conference-2027,Taqelah Testing Conference 2027,evt-fi-ttc
parallelization,ed-pa-ttc27,ed-evt-taqelah-testing-conference-taqelah-testing-conference-2027,Taqelah Testing Conference 2027,evt-pa-ttc
evidence-learning,ed-ucf-tlwai-2027,ed-evt-teaching-and-learning-with-ai-conference-teaching-and-learning-with-,Teaching and Learning with AI 2027,ev-ucf-tlwai
skeptic-education,ed-ucf-tlai-2027,ed-evt-teaching-and-learning-with-ai-conference-teaching-and-learning-with-,Teaching and Learning with AI 2027,evt-ucf-tlai
skeptic-education,ed-tpc-2027,ed-evt-teaching-professor-conference-teaching-professor-conference-2027,Teaching Professor Conference 2027,evt-teaching-professor
benchmarks,ed-testbash-rolling,ed-evt-testbash-ministry-of-testing-continuous-call-for-contributions,Continuous Call for Contributions,evt-testbash
benchmarks,ed-testcon-2027,ed-evt-testcon-europe-testcon-europe-2027,TestCon Europe 2027,evt-testcon
benchmarks,ed-testingunited-2027,ed-evt-testing-united-testing-united-2027,Testing United 2027,evt-testingunited
retrieval,ed-trec-2026,ed-evt-text-retrieval-conference-trec-2026,TREC 2026,ev-trec
adaptive-systems,ed-thinkai-2027,ed-evt-think-ai-summit-think-ai-summit-2027,Think!AI Summit 2027,evt-thinkai
benchmarks,ed-thinkai-2027,ed-evt-think-ai-summit-think-ai-summit-2027,Think!AI Summit 2027,evt-thinkai
free-tier,ed-tokenomicon-amsterdam-2026,ed-evt-tokenomicon-amsterdam-tokenomicon-amsterdam-2026,Tokenomicon Amsterdam 2026,ev-tokenomicon-amsterdam
free-tier,ed-tokenomicon-x-2027,ed-evt-tokenomicon-finops-x-tokenomicon-finops-x-2027,Tokenomicon + FinOps X 2027,ev-tokenomicon-x
free-tier,ed-tokenomicon-london-2027,ed-evt-tokenomicon-london-tokenomicon-london-2027,Tokenomicon London 2027,ev-tokenomicon-london
skeptic-education,ed-training-2027,ed-evt-training-conference-and-expo-training-2027-conference-and-expo,Training 2027 Conference and Expo,evt-training-conf
evidence-learning,ed-upcea-dtl-2027,ed-evt-upcea-digital-teaching-and-learning-conference-2027-upcea-digital-te,DT&L 2027,ev-upcea-dtl
skeptic-education,ed-upcea-dtl-2027,ed-evt-upcea-digital-teaching-and-learning-conference-2027-upcea-digital-te,2027 UPCEA Digital Teaching & Learning Conference,evt-upcea-dtl
evidence-learning,ed-usdla-2027,ed-evt-usdla-national-conference-usdla-2027-national-conference,USDLA 2027 National Conference,ev-usdla
skeptic-education,ed-usdla-2027,ed-evt-usdla-national-conference-usdla-2027-national-conference,USDLA 2027 National Conference,evt-usdla-national
judgment,ed-ju-uxdx-ny27,ed-evt-uxdx-uxdx-new-york-2027,UXDX New York 2027,evt-ju-uxdx
product-engineering,ed-pe-uxdx-ny27,ed-evt-uxdx-uxdx-new-york-2027,UXDX New York 2027,evt-pe-uxdx
failure-improvement,ed-fi-vslive-austin27,ed-evt-visual-studio-live-visual-studio-live-austin-2027,Visual Studio Live! Austin 2027,evt-fi-vslive
parallelization,ed-pa-vslive-austin27,ed-evt-visual-studio-live-visual-studio-live-austin-2027,Visual Studio Live! Austin 2027,evt-pa-vslive
retrieval,ed-voxxed-lux-2027,ed-evt-voxxed-days-luxembourg-voxxed-days-luxembourg-2027,Voxxed Days Luxembourg 2027,ev-voxxed-lux
evidence-learning,ed-wscuc-arc-2027,ed-evt-wscuc-accreditation-resource-conference-arc2027,ARC2027,ev-wscuc-arc
