event_id,event_name,organizer,opportunity_type,series_url,public_contact_url,audience,history_summary,history_source_ids
evt-herdsa-annual-conference,HERDSA Annual Conference,Higher Education Research and Development Society of Australasia,higher-education research/practice conference; academic and practitioner conference,https://conference.herdsa.org.au/2027/,https://conference.herdsa.org.au/2027/,"Higher-education teachers, researchers, developers, leaders, and policymakers | Higher-education educators, researchers, academic developers, learning designers, leaders, and students in Australasia and beyond",Recurring Australasian annual conference; 2027 page contains stale year labels in its important-dates component. | Annual conference with established programs; 2027 includes both Canberra and a one-day virtual program. | MERGE NOTES — Series URL aliases: https://conference.herdsa.org.au/2027/ | https://herdsa.org.au/conference,src-evidence-learning-src-herdsa-2027;src-skeptic-education-ev-030;src-skeptic-education-ev-031
evt-hi-ai,Hi AI!,Learning Technology Center of Illinois,virtual conference,https://www.ltcillinois.org/hiai/,https://www.ltcillinois.org/hiai/rfp/,"K-12 teachers, curriculum and instructional-technology leaders, district/building administrators, CTOs, and IT staff",Recurring Illinois education-AI conference; 2027 is online and follows a January 2026 edition.,src-skeptic-education-ev-012;src-skeptic-education-ev-013
evt-honolulu-education-conference,Honolulu Education Conference,International Education for Sustainable Development Alliance,commercial/academic conference; academic conference,https://intesda.org/education-conference/,https://intesda.org/education-conference/,"Educators, academics, researchers, and students | Educators, researchers, administrators, and education-technology practitioners",Fourth edition in 2027; organizer and speaker economics require extra due diligence. | Fourth edition scheduled for 2027; limited independent history validation in this run.,src-evidence-learning-src-hec-cfp;src-skeptic-education-ev-027
evt-icai-annual-conference,ICAI Annual Conference,International Center for Academic Integrity,association conference,https://academicintegrity.org/aws/ICAI/pt/sp/conference_home_page,https://academicintegrity.org/aws/ICAI/pt/sp/conference_cfp,"Academic-integrity educators, administrators, researchers, and practitioners",35th annual conference in 2027; official site links past conference programs.,src-evidence-learning-src-icai-home;src-evidence-learning-src-icai-cfp;src-evidence-learning-src-icai-program
evt-ieee-global-engineering-education-conference-educon,IEEE Global Engineering Education Conference (EDUCON),IEEE Education Society,research conference,https://educon-conference.org/current/,https://ieee-edusociety.org/post/educon-2027-call-abstracts,"Engineering educators, education researchers, and technology innovators",Recurring IEEE conference; 2027 CFP includes AI and innovative assessment but routes through research abstracts/papers.,src-evidence-learning-src-educon-cfp
evt-ieee-international-conference-on-software-architecture,IEEE International Conference on Software Architecture,IEEE Computer Society / ICSA steering community,academic-practitioner conference,https://icsa-conferences.org/,https://conf.researchr.org/track/icsa-2027/icsa-2027-software-architecture-in-practice-track,Software architecture researchers and practitioners,24th edition in 2027; official archives cover at least 2024-2026.,src-adaptive-systems-ev-icsa-saip;src-adaptive-systems-ev-icsa-past1;src-adaptive-systems-ev-icsa-past2
evt-incontro-devops-italia,Incontro DevOps Italia,GrUSP,conference,https://www.incontrodevops.it/,https://www.incontrodevops.it/contatti/,Italian and European DevOps; platform; SRE practitioners,Recurring Italian DevOps conference with public session archive.,src-failure-improvement-ev-fi-idi-past1;src-failure-improvement-ev-fi-idi-past2;src-parallelization-ev-pa-idi-past1;src-parallelization-ev-pa-idi-past2
evt-inqaahe-biennial-conference,INQAAHE Biennial Conference,International Network for Quality Assurance Agencies in Higher Education,quality-assurance conference,https://inqaahe2027-doha.org/,https://inqaahe2027-doha.org/call-for-proposals/,International higher-education quality-assurance agencies and providers,"Biennial conference; 2025 program included multiple AI, human-evaluator, and programme-assessment sessions.",src-evidence-learning-src-inqaahe-cfp;src-evidence-learning-src-inqaahe-2025-program;src-evidence-learning-src-inqaahe-human
evt-international-conference-on-ai-in-education-2027,International Conference on AI in Education 2027,ICAIED,first-edition hybrid research conference; academic conference,https://www.icaied.org/,https://www.icaied.org/call-for-papers,"Education researchers, teachers, doctoral students, policymakers, and practitioners | Education researchers, doctoral students, teachers, policymakers, and practitioners",First edition; no history is available and organizer provenance needs additional verification. | First edition announced for 2027; organizer track record and governance are not yet established. | MERGE NOTES — Name aliases: International Conference on AI in Education,src-evidence-learning-src-icaied-cfp;src-skeptic-education-ev-026
evt-international-conference-on-learning,International Conference on Learning,The Learner Research Network,academic conference,https://thelearner.com/2027-conference,https://thelearner.com/2027-conference/call-for-papers,"Educators, researchers, policymakers, and practitioners across formal, informal, adult, workplace, and higher education",Thirty-fourth annual conference in 2027; proceedings/publication pathway offered.,src-skeptic-education-ev-025
evt-isaqb-software-architecture-gathering,iSAQB Software Architecture Gathering,iSAQB with heise conferences,conference,https://www.software-architecture-gathering.com/,mailto:conference@isaqb.org,Software architects from early career through senior leadership,Recurring international software architecture gathering; 2026 CFP explicitly included Architecture in the Age of AI.,src-adaptive-systems-ev-sag-current
evt-isls-annual-meeting-icls-and-cscl,ISLS Annual Meeting / ICLS and CSCL,International Society of the Learning Sciences,research conference,https://2027.isls.org/,https://2027.isls.org/icls-2027-call-for-proposals/,Learning-sciences researchers and practitioners,Recurring annual meeting; 2027 is the first annual meeting hosted in the Global South.,src-evidence-learning-src-isls-cfp
evt-issotl-annual-conference,ISSOTL Annual Conference,International Society for the Scholarship of Teaching and Learning,scholarship-of-teaching conference,https://issotl.com/,https://issotl.com/issotl26/call-for-proposals/,International scholarship-of-teaching-and-learning community,Recurring annual conference; 2026 CFP closed and requires explicit grounding in SoTL scholarship.,src-evidence-learning-src-issotl-2026
evt-istelive,ISTELive,International Society for Transforming Education,conference,https://conference.iste.org/,https://conference.iste.org/2027/presenters/submit_proposal.php,"K-12 teachers, technology coaches, school and district leaders, and higher-education educators",Annual international education-technology conference; 2027 follows ISTE and ASCD's consolidation under the International Society for Transforming Education.,src-skeptic-education-ev-001;src-skeptic-education-ev-002;src-skeptic-education-ev-061;src-skeptic-education-ev-062
evt-javaland,JavaLand,JavaLand GmbH / iJUG,community conference,https://www.javaland.eu/en/home/,https://www.javaland.eu/en/contact/,"Java/JVM developers plus architecture, platform, cloud, DevOps, and AI practitioners",Recurring European Java community conference; official 2026 submission figures and program evidence available.,src-adaptive-systems-ev-javaland-current;src-adaptive-systems-ev-javaland-past1;src-adaptive-systems-ev-javaland-past2
evt-kmworld-europe,KMWorld Europe,Information Today,conference,https://www.kmworld.com/Europe/2027/,https://www.kmworld.com/Europe/2027/ContactUs.aspx,Knowledge management; AI; organizational learning practitioners,New European edition from the organizer of the long-running KMWorld Washington conference.,src-judgment-ev-ju-km-past1;src-judgment-ev-ju-km-past2;src-product-engineering-ev-pe-km-past1;src-product-engineering-ev-pe-km-past2
evt-kubecon-cloudnativecon-europe,KubeCon + CloudNativeCon Europe,Cloud Native Computing Foundation / Linux Foundation,conference; open-source conference,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/about/contact/; https://events.linuxfoundation.org/about/contact-us/,"Cloud-native developers, architects, platform engineers, SREs, and technical leaders | Cloud-native developers; platform engineers; SREs; project maintainers | Cloud-native adopters, developers, architects, platform engineers, and technical leaders",Annual CNCF flagship; official 2026 archive and 2027 site available. | Annual CNCF flagship with official archives. | CNCF flagship European conference with archived schedules and recorded sessions. | Flagship recurring CNCF event; 2027 edition in Barcelona and official site provides prior-edition highlights. | Recurring CNCF flagship; 2027 program adds agentic AI and AI inference tracks.,src-adaptive-systems-ev-kccnc-main;src-adaptive-systems-ev-kccnc-past;src-benchmarks-ev-kccnc-current;src-failure-improvement-ev-fi-kube-past1;src-failure-improvement-ev-fi-kube-past2;src-free-tier-src-kubecon-eu-cfp;src-free-tier-src-kubecon-eu-home;src-parallelization-ev-pa-kube-past1;src-parallelization-ev-pa-kube-past2;src-retrieval-src-kubecon-eu-cfp;src-retrieval-src-kubecon-eu-home
evt-kubecon-cloudnativecon-north-america,KubeCon + CloudNativeCon North America,Cloud Native Computing Foundation / Linux Foundation,conference; open-source conference,https://events.linuxfoundation.org/kubecon-cloudnativecon-north-america/,https://events.linuxfoundation.org/about/contact/; https://events.linuxfoundation.org/kubecon-cloudnativecon-north-america/about/contact/,"Cloud-native developers, architects, platform engineers, and technical leaders | Cloud-native adopters, developers, architects, and technical leaders",2027 edition is on the official Linux Foundation event calendar; details are forthcoming. | 2027 edition is on the official Linux Foundation calendar; details are forthcoming. | Recurring CNCF flagship; 2026 call and event remain useful current-cycle evidence but CFP is closed.,src-adaptive-systems-ev-lf-calendar;src-benchmarks-ev-lf-calendar;src-free-tier-src-kubecon-na-cfp;src-free-tier-src-kubecon-na-faq
evt-ldx3-leaddev,LDX3 / LeadDev,LeadDev,conference,https://leaddev.com/,https://leaddev.com/contact-us,Engineering managers; senior ICs; directors; VPs; CTOs,Long-running engineering-leadership program; London 2027 announced after 2026 New York/Berlin editions.,src-judgment-ev-ju-lead-past1;src-judgment-ev-ju-lead-past2;src-product-engineering-ev-pe-lead-past1;src-product-engineering-ev-pe-lead-past2
evt-ldx3-london-leaddev,LDX3 London / LeadDev,LeadDev,engineering-leadership conference,https://leaddev.com/,https://leaddev.com/contact-us,"Tech leads, staff-plus engineers, engineering managers, directors, VPs, and CTOs",Recurring engineering-leadership series; 2026 programs examined what AI changes and which engineering skills remain durable.,src-retrieval-src-leaddev-home;src-retrieval-src-leaddev-past
evt-lilac,LILAC,Information Literacy Group of CILIP,information-literacy conference,https://www.lilacconference.com/,https://www.lilacconference.com/lilac-2027/call-for-presentations-1,Information-literacy practitioners across sectors,Recurring conference; 2027 CFP explicitly asks proposals to go beyond basic AI adoption or AI-literacy instruction.,src-evidence-learning-src-lilac-cfp
evt-lilly-conference-austin,Lilly Conference Austin,International Teaching Learning Cooperative,teaching conference; conference,https://www.lillyconferences.com/,https://www.lillyconferences-tx.com/proposals; https://www.lillyconferences.com/contact,"Higher-education faculty, administrators, and graduate students | Higher-education faculty, administrators, graduate students, and teaching-and-learning professionals",Recurring regional Lilly conference with criterion-referenced rolling review. | Part of a Lilly series with over four decades of evidence-based teaching-and-learning programming.,src-evidence-learning-src-lilly-series;src-evidence-learning-src-lilly-austin-cfp;src-skeptic-education-ev-007;src-skeptic-education-ev-006
evt-lilly-conference-san-diego,Lilly Conference San Diego,International Teaching Learning Cooperative,teaching conference; conference,https://www.lillyconferences.com/,https://www.lillyconferences-ca.com/; https://www.lillyconferences.com/contact,"Higher-education faculty, administrators, and graduate students | Higher-education faculty, administrators, graduate students, and teaching-and-learning professionals",Part of the recurring Lilly Conference series focused on scholarship of teaching and learning. | Part of a Lilly series with over four decades of teaching-and-learning programming and representation from 740+ institutions.,src-evidence-learning-src-lilly-series;src-skeptic-education-ev-005;src-skeptic-education-ev-006
evt-live2test,Live2Test,Live2Test,community conference,https://live2test.com/,https://live2test.com/contact/,Testing and quality practitioners,Public community conference and speaker route; edition details are incomplete.,src-benchmarks-ev-live2test
evt-mlops-community,MLOps Community,MLOps Community,community meetup/webinar/podcast route,https://mlops.community/,https://mlops.community/,Global MLOps and production-AI practitioners,"Community states 90,000+ members and runs in-person events, virtual tech talks, and practitioner podcasts; no standing public speaker intake verified. | Community states 90,000+ members and runs virtual talks, conferences, workshops, and podcasts.",src-adaptive-systems-ev-mlops-series;src-adaptive-systems-ev-mlops-ended;src-benchmarks-ev-mlops
evt-mlops-community-meetups,MLOps Community Meetups,MLOps Community,global community meetup network,https://mlops.community/meetups,https://mlops.community/meetups,"ML engineers, data scientists, software engineers, AI researchers, product managers, and technical founders",Global network says local groups host monthly or quarterly meetings with two to three speakers.,src-retrieval-src-mlops-meetups
evt-naacl-conference,NAACL Conference,Association for Computational Linguistics,research conference,https://2027.naacl.org/,https://2027.naacl.org/calls/main_conference_papers/,NLP and information-retrieval researchers,"Peer-reviewed research venue with explicit information-retrieval, RAG, and agent topics.",src-retrieval-src-naacl-cfp
evt-ndc-london,NDC London,NDC Conferences UK Ltd,conference; developer conference,https://ndclondon.com/,https://ndclondon.com/call-for-papers,"Software developers and architects across AI, agents, architecture, cloud, platform, and languages | Software developers and architects across AI, architecture, cloud, platform, and testing | Software developers, architects, and technical leaders","Recurring member of the NDC worldwide conference series. | Recurring member of the NDC conference series. | Recurring multi-track developer conference; 2027 call included AI, cloud, architecture, platform engineering, and SRE. | Recurring broad developer event; 2027 CFP included AI, architecture, cloud, platform engineering, and SRE. | MERGE NOTES — Organizer variants: NDC Conferences",src-adaptive-systems-ev-ndc-current;src-benchmarks-ev-ndc;src-free-tier-src-ndc-london-cfp;src-retrieval-src-ndc-london-cfp
evt-nercomp-annual-conference,NERCOMP Annual Conference,NERCOMP in partnership with EDUCAUSE,regional higher-ed technology conference; regional conference,https://events.educause.edu/nercomp-annual-conference/2027,https://events.educause.edu/nercomp-annual-conference/2027,"Higher-education IT and library professionals, faculty, researchers, and practitioners in the northeastern US | Northeastern US higher-education IT, library, faculty, researcher, and practitioner communities","Recurring regional conference; 2027 edition announced, but no current CFP was found. | Annual regional higher-education technology conference partnered with EDUCAUSE.",src-evidence-learning-src-nercomp-2027;src-skeptic-education-ev-034;src-skeptic-education-ev-035
evt-observability-day-europe,Observability Day Europe,Cloud Native Computing Foundation / Linux Foundation,co-located conference,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/observability-day/,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/about/contact/,"Observability, telemetry, reliability, and platform practitioners",Recurring CNCF co-located event using a common 2027 CFP.,src-benchmarks-ev-colocated-cfp
evt-oeb-global,OEB Global,ICWE GmbH,conference,https://oeb.global/,https://iframe.oeb.global/conference/callforproposals,"International education, workplace training, government, learning-technology, policy, and research professionals","Long-running Berlin digital-learning conference; 2026 theme foregrounds trust, agency, assessment, governance, and human capability.",src-skeptic-education-ev-046;src-skeptic-education-ev-047
evt-ohio-state-learning-design-day,Ohio State Learning Design Day,Ohio State University Center on Education and Training for Employment,university symposium,https://cete.osu.edu/ohio-state-learning-design-day-call-for-proposals/,mailto:learningdesign@osu.edu,"Instructional designers, educational technologists, and learning-experience creators",Inaugural symposium in 2027; no prior program history.,src-skeptic-education-ev-023
evt-ohio-state-learning-design-day-fresh-ideas,Ohio State Learning Design Day: Fresh Ideas,Ohio State University Center on Education and Training for Employment,university symposium,https://cete.osu.edu/ohio-state-learning-design-day/,https://cete.osu.edu/ohio-state-learning-design-day-call-for-proposals/,"Instructional designers, educational technologists, and learning-experience creators",Inaugural annual event in 2027; no past editions exist.,src-evidence-learning-src-osu-cfp
evt-olc-innovate,OLC Innovate,Online Learning Consortium and MERLOT,virtual practitioner conference; virtual conference,https://onlinelearningconsortium.org/conferences/olc-innovate2027/,https://onlinelearningconsortium.org/conferences/olc-innovate2027/present/,"Online, blended, and digital-learning educators, designers, and leaders | Online, digital, and blended-learning educators, designers, leaders, vendors, and workplace learning professionals",Recurring conference; 2026 featured academic-integrity and AI assessment programming. | Recurring OLC/MERLOT digital-learning conference; 2027 is fully virtual.,src-evidence-learning-src-olc-cfp;src-evidence-learning-src-olc-2026-program;src-skeptic-education-ev-017;src-skeptic-education-ev-018;src-skeptic-education-ev-069;src-skeptic-education-ev-070
evt-oop-conference,OOP Conference,heise conferences / SIGS DATACOM,conference,https://www.oop-konferenz.de/de,https://www.oop-konferenz.de/de/kontakt,"Experienced software architects, technical leaders, and developers",Annual German software-architecture conference; 2027 is described as its 35th year.,src-adaptive-systems-ev-oop-current
evt-open-source-summit-north-america,Open Source Summit North America,The Linux Foundation,conference,https://events.linuxfoundation.org/open-source-summit-north-america/,https://events.linuxfoundation.org/about/contact/,"Open-source developers, maintainers, architects, and technical leaders",Recurring Linux Foundation conference; 2027 edition is announced and CFP details are forthcoming. | Recurring Linux Foundation conference; 2027 edition is announced.,src-adaptive-systems-ev-lf-calendar;src-benchmarks-ev-lf-calendar
evt-optimizers-conference,Optimizers Conference,Test & Learn Community,retreat conference and attendee-led unconference,https://optimizersconference.com/,https://optimizersconference.com/#contact,Experimentation; product; design; research; analytics; engineering and growth practitioners,Formerly Experimentation Island; small nonprofit-led retreat with curated keynotes and attendee-led sessions.,src-judgment-ev-ju-opt-past1;src-judgment-ev-ju-opt-past2;src-product-engineering-ev-pe-opt-past1;src-product-engineering-ev-pe-opt-past2
evt-platform-engineering-day-europe,Platform Engineering Day Europe,Cloud Native Computing Foundation / Linux Foundation,co-located conference; platform-engineering conference,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/platform-engineering-day/,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/about/contact/,"Platform engineers, infrastructure teams, and developer-experience practitioners | Platform engineers, product managers, solution architects, and cloud-native stakeholders",Recurring CNCF co-located program; 2027 page and common CFP are live. | Recurring CNCF-hosted co-located event; 2027 includes agentic platforms and AI integration.,src-adaptive-systems-ev-colocated-common;src-retrieval-src-platform-day
evt-platformcon,PlatformCon,Humanitec / Platform Engineering community,platform-engineering conference,https://platformcon.com/,https://platformcon.com/,"Platform engineers, infrastructure teams, engineering leaders, and AI platform builders",Recurring virtual flagship expanded to a world tour; official 2027 page advertises hundreds of speakers and a free virtual archive.,src-free-tier-src-platformcon-home
evt-platformcon-live-day-san-francisco,PlatformCon Live Day San Francisco,Platform Engineering community,conference; regional platform-engineering conference,https://sanfrancisco.platformcon.com/,https://platformengineering.org/contact; https://sanfrancisco.platformcon.com/,Platform engineers and internal developer platform practitioners | Platform engineers and teams building agentic development platforms | Enterprise platform engineers and technology organizations,"Live regional edition of PlatformCon; associated 2026 program contains agent/platform case studies. | Two-day 2027 regional program covering platform foundations and agentic platforms; page exposes a CFP navigation route but extracted deadline unavailable. | World Tour edition with 300 practitioners; prior PlatformCon programming includes context engineering, evals, MCP, and agentic platforms. | MERGE NOTES — Organizer variants: Platform Engineering",src-failure-improvement-ev-fi-platform-past1;src-failure-improvement-ev-fi-platform-past2;src-free-tier-src-platformcon-sf;src-parallelization-ev-pa-platform-past1;src-parallelization-ev-pa-platform-past2;src-retrieval-src-platformcon-sf-cfp;src-retrieval-src-platformcon-context;src-retrieval-src-platformcon-evals
evt-pod-network-annual-conference,POD Network Annual Conference,Professional and Organizational Development Network in Higher Education,educational-development conference; conference,https://podnetwork.org/annual-conference/,https://podnetwork.org/annual-conference/baltimore-2026-draft/call-for-proposals/,"Educational developers and faculty-development professionals | Educational developers, faculty-development professionals, and higher-education teaching-and-learning leaders","51st annual conference in 2026; CFP closed, but program framing explicitly includes generative AI and teaching practices. | Fifty-first annual conference in 2026; established educational-development association.",src-evidence-learning-src-pod-2026;src-skeptic-education-ev-048;src-skeptic-education-ev-049
evt-possible,POSSIBLE,Hyve Group,conference,https://possibleevent.com/,https://possibleevent.com/contact/,Marketing; brand; founders; innovators; product-adjacent executives,Annual Miami marketing/innovation event with an open editorial speaker application and separate vendor sales route.,src-judgment-ev-ju-poss-past1;src-judgment-ev-ju-poss-past2;src-product-engineering-ev-pe-poss-past1;src-product-engineering-ev-pe-poss-past2
evt-product-at-heart,Product at Heart,Product at Heart,conference,https://productatheart.com/conference,https://productatheart.com/contact,Product managers and product leaders,Independent single-track Hamburg product conference; 2027 return announced.,src-judgment-ev-ju-pah-past1;src-judgment-ev-ju-pah-past2;src-product-engineering-ev-pe-pah-past1;src-product-engineering-ev-pe-pah-past2
evt-product-led-summit,Product-Led Summit,Product-Led Alliance,conference series,https://world.productledalliance.com/,https://www.productledalliance.com/contact,Product and growth leaders; product engineers; experimentation teams,Global summit series with public request-to-speak forms and archived agendas.,src-judgment-ev-ju-pls-past1;src-judgment-ev-ju-pls-past2;src-product-engineering-ev-pe-pls-past1;src-product-engineering-ev-pe-pls-past2
evt-productcon,ProductCon,Product School,conference series,https://productschool.com/productcon,https://productschool.com/contact,Senior product leaders; CPOs; product managers,Global London/New York/San Francisco product conference circuit; no public speaker route found.,src-judgment-ev-ju-pcon-past1;src-judgment-ev-ju-pcon-past2;src-product-engineering-ev-pe-pcon-past1;src-product-engineering-ev-pe-pcon-past2
evt-producttank,ProductTank,Mind the Product,meetup and digital event series,https://www.mindtheproduct.com/producttank/,https://support.mindtheproduct.com/hc/en-us/requests/new,Product managers; designers; engineers; local product communities,Global ProductTank community with an organizer-facing speaker directory and recurring digital/local events.,src-judgment-ev-ju-pt-past1;src-judgment-ev-ju-pt-past2;src-product-engineering-ev-pe-pt-past1;src-product-engineering-ev-pe-pt-past2
evt-productworld,ProductWorld,DevNetwork,conference,https://productworld.co/,https://productworld.co/contact/,Product managers; product engineers; designers; engineering and product leaders,Annual ProductWorld within DeveloperWeek; 2026 program directly addressed AI-era product engineering.,src-judgment-ev-ju-pw-past1;src-judgment-ev-ju-pw-past2;src-product-engineering-ev-pe-pw-past1;src-product-engineering-ev-pe-pw-past2
evt-pydata-venice,PyData Venice,PyData Venice community,meetup series,https://www.meetup.com/pydata-venice/,https://sessionize.com/pydata-venice,Data scientists; ML engineers; MLOps practitioners,Regional hybrid/streamed PyData meetup series with several 2026 dates.,
evt-qcon-london,QCon London,C4Media / InfoQ,curated conference; curated software conference,https://qconlondon.com/,https://qconlondon.com/contact-us; https://qconferences.com/third-party-social-media,"Senior software engineers, architects, and technical leaders | Senior software engineers, architects, staff-plus engineers, and technical leaders","Long-running curated practitioner conference; public speaker submission route was not verified. | More than twenty years of curated practitioner programming; no formal CFP, but spontaneous submissions are accepted. | MERGE NOTES — Organizer variants: InfoQ / C4Media",src-benchmarks-ev-qcon;src-retrieval-src-qcon-london;src-retrieval-src-qcon-selection
evt-qcon-san-francisco,QCon San Francisco,C4Media / InfoQ,curated software conference,https://qconsf.com/,https://qconferences.com/third-party-social-media,"Senior software engineers, architects, staff-plus engineers, and technical leaders","Recurring curated conference; 2026 speaker roster includes AI architecture, GenAI search, and MLOps practitioners.",src-retrieval-src-qcon-sf
evt-quality-land,Quality Land,LTSTQB,regional community conference; community conference,https://qualityland.lt/,mailto:signal@qualityland.lt; https://qualityland.lt/,Lithuanian and European testing and quality-engineering community | Lithuanian and European testing/quality community,"Non-profit community conference; official 2026 gallery and 2027 call are public. | Small nonprofit community event; site claims one day, six speakers and about 300 attendees. | MERGE NOTES — Organizer variants: Lithuanian Software Testing Qualifications Board",src-benchmarks-ev-qualityland
evt-saastock-europe-ai-growth-summit,SaaStock Europe / AI Growth Summit,Founderpath,AI and SaaS founder conference,https://saastock.com/,https://saastock.com/,AI-native B2B software founders and operators,"SaaStock was acquired by Founderpath and is rebranding as AI Growth Summit; official archive lists ten years, 17 events, 693 speakers, and 635 recordings.",src-free-tier-src-saastock-speakers;src-free-tier-src-saastock-home
evt-saastock-usa-ai-growth-summit,SaaStock USA / AI Growth Summit,Founderpath,AI and SaaS founder conference,https://saastock.com/,https://saastock.com/,AI-native B2B software founders and operators,US flagship announced for San Francisco in 2027 after acquisition and rebrand; current public editorial speaker application not found.,src-free-tier-src-saastock-speakers;src-free-tier-src-saastock-home
evt-saastr-ai-annual,SaaStr AI Annual,SaaStr,B2B SaaS founder conference,https://www.saastrannual.com/,https://www.saastrannual.com/speaker-submission,"B2B SaaS founders, executives, product leaders, and investors","Long-running SaaS operator event; official 2027 page advertises 10,000+ attendees and an apply-to-speak route.",src-free-tier-src-saastr-2027;src-free-tier-src-saastr-speaker
evt-softwarearchitektur-wien,Softwarearchitektur Wien,Community organizers,local meetup,https://www.meetup.com/de-de/softwarearchitektur-wien/,https://www.meetup.com/de-de/softwarearchitektur-wien/,Local software architecture practitioners in Vienna,Active local meetup with multi-speaker architecture sessions; no public CFP route verified.,src-adaptive-systems-ev-vienna-current
evt-sparking-success-faculty-development-conference,Sparking Success Faculty Development Conference,Tulane University Center for Engaged Learning & Teaching,university faculty-development conference,https://celt.tulane.edu/sparking-success,https://celt.tulane.edu/sparking-success,Faculty across disciplines and career stages,Ninth annual event in 2027; official archive lists more than 100 prior breakout sessions.,src-evidence-learning-src-tulane-2027
evt-srecon-americas,SREcon Americas,USENIX,conference; systems-reliability conference,https://www.usenix.org/srecon,https://www.usenix.org/contact; https://www.usenix.org/conferences/contact,"SREs, systems engineers, infrastructure architects, and engineering leaders | SREs; production engineers; reliability and platform practitioners | SREs, systems engineers, platform teams, and operators of large-scale distributed systems | SREs, systems engineers, platform teams, and operators of complex production systems",Established annual practitioner conference with open-access program archives. | Established practitioner conference with open-access program archives. | Established practitioner conference; 2026 programs included AI-SRE failure testing and incident-oriented sessions. | Recurring USENIX conference with open-access recordings; 2026 CFP welcomed AI and platform engineering and required technical depth. | Recurring practitioner conference with open-access talk recordings and a 2026 program containing several AI systems sessions. | MERGE NOTES — Organizer variants: USENIX Association; Series URL aliases: https://www.usenix.org/conferences/byname/925 | https://www.usenix.org/conferences/srecon | https://www.usenix.org/srecon,src-adaptive-systems-ev-srecon-current;src-adaptive-systems-ev-srecon-past1;src-adaptive-systems-ev-srecon-past2;src-benchmarks-ev-srecon-current;src-benchmarks-ev-srecon-past;src-failure-improvement-ev-fi-sre-past1;src-failure-improvement-ev-fi-sre-past2;src-free-tier-src-srecon26-cfp;src-free-tier-src-srecon26-home;src-parallelization-ev-pa-sre-past1;src-parallelization-ev-pa-sre-past2;src-retrieval-src-srecon27-cfp;src-retrieval-src-srecon26-agents;src-retrieval-src-srecon26-language
evt-stareast,STAREAST,Coveros / TechWell,conference,https://stareast.techwell.com/,https://stareast.techwell.com/contact-us,"Testers, QA leaders, developers, DevOps, and engineering managers",Established annual testing conference with in-person and online audience.,src-benchmarks-ev-stareast-main;src-benchmarks-ev-stareast-cfp
evt-stlhe-annual-conference,STLHE Annual Conference,Society for Teaching and Learning in Higher Education,academic and practitioner conference,https://stlhe.ca/conferences/,https://stlhe.ca/conferences/2026-stlhe-conference/call-for-proposals/,"Canadian and international higher-education faculty, educational developers, instructional designers, administrators, and students",Annual bilingual Canadian teaching-and-learning conference; 2027 edition not confirmed in this run.,src-skeptic-education-ev-055;src-skeptic-education-ev-056
evt-swiss-testing-day,Swiss Testing Day,Swiss Testing Board / event organizers,conference,https://swisstestingday.ch/,https://swisstestingday.ch/contact/,Testing and quality professionals in Switzerland and Europe,Recurring Swiss testing conference with public 2026 program.,src-failure-improvement-ev-fi-swiss-past1;src-failure-improvement-ev-fi-swiss-past2;src-parallelization-ev-pa-swiss-past1;src-parallelization-ev-pa-swiss-past2
evt-sxsw-edu-conference-and-festival,SXSW EDU Conference and Festival,SXSW EDU,conference and festival,https://sxswedu.com/,https://sxswedu.com/panelpicker/,"PreK-12, higher education, workforce, EdTech, nonprofit, government, policy, and investor audiences","Annual education festival since 2011; organizer reports 11,000+ attendees across 63 industries for 2027 marketing.",src-skeptic-education-ev-040;src-skeptic-education-ev-041;src-skeptic-education-ev-079;src-skeptic-education-ev-080
evt-taqelah-testing-conference,Taqelah Testing Conference,Taqelah,community conference; conference,https://ttc.taqelah.sg/,https://ttc.taqelah.sg/; https://taqelah.sg/contact,Southeast Asian testers and quality engineers | Software testing and quality practitioners in Southeast Asia,Community-run conferences since 2020 with 33 past talks free to watch. | Run since 2020; organizer advertises a community conference and public lightning-talk program. | MERGE NOTES — Organizer variants: taqelah!,src-benchmarks-ev-ttc-current;src-failure-improvement-ev-fi-ttc-past1;src-failure-improvement-ev-fi-ttc-past2;src-parallelization-ev-pa-ttc-past1;src-parallelization-ev-pa-ttc-past2
