talk_id,source_event_id,consolidated_event_id,event_name,organizer,series_url
parallelization,evt-pa-qualityland,evt-quality-land,Quality Land,LTSTQB,https://qualityland.lt/
free-tier,ev-saastock-eu,evt-saastock-europe-ai-growth-summit,SaaStock Europe / AI Growth Summit,Founderpath,https://saastock.com/
free-tier,ev-saastock-us,evt-saastock-usa-ai-growth-summit,SaaStock USA / AI Growth Summit,Founderpath,https://saastock.com/
free-tier,ev-saastr,evt-saastr-ai-annual,SaaStr AI Annual,SaaStr,https://www.saastrannual.com/
adaptive-systems,evt-softwarearch-vienna,evt-softwarearchitektur-wien,Softwarearchitektur Wien,Community organizers,https://www.meetup.com/de-de/softwarearchitektur-wien/
evidence-learning,ev-tulane-sparking,evt-sparking-success-faculty-development-conference,Sparking Success Faculty Development Conference,Tulane University Center for Engaged Learning & Teaching,https://celt.tulane.edu/sparking-success
adaptive-systems,evt-srecon-americas,evt-srecon-americas,SREcon Americas,USENIX Association,https://www.usenix.org/conferences/byname/925
benchmarks,evt-srecon,evt-srecon-americas,SREcon Americas,USENIX Association,https://www.usenix.org/conferences/byname/925
failure-improvement,evt-fi-srecon,evt-srecon-americas,SREcon Americas,USENIX,https://www.usenix.org/conferences/srecon
free-tier,ev-srecon,evt-srecon-americas,SREcon Americas,USENIX,https://www.usenix.org/srecon
parallelization,evt-pa-srecon,evt-srecon-americas,SREcon Americas,USENIX,https://www.usenix.org/conferences/srecon
retrieval,ev-srecon,evt-srecon-americas,SREcon Americas,USENIX,https://www.usenix.org/srecon
benchmarks,evt-stareast,evt-stareast,STAREAST,Coveros / TechWell,https://stareast.techwell.com/
skeptic-education,evt-stlhe,evt-stlhe-annual-conference,STLHE Annual Conference,Society for Teaching and Learning in Higher Education,https://stlhe.ca/conferences/
failure-improvement,evt-fi-swiss-testing-day,evt-swiss-testing-day,Swiss Testing Day,Swiss Testing Board / event organizers,https://swisstestingday.ch/
parallelization,evt-pa-swiss-testing-day,evt-swiss-testing-day,Swiss Testing Day,Swiss Testing Board / event organizers,https://swisstestingday.ch/
skeptic-education,evt-sxsw-edu,evt-sxsw-edu-conference-and-festival,SXSW EDU Conference and Festival,SXSW EDU,https://sxswedu.com/
benchmarks,evt-ttc,evt-taqelah-testing-conference,Taqelah Testing Conference,taqelah!,https://ttc.taqelah.sg/
failure-improvement,evt-fi-ttc,evt-taqelah-testing-conference,Taqelah Testing Conference,Taqelah,https://ttc.taqelah.sg/
parallelization,evt-pa-ttc,evt-taqelah-testing-conference,Taqelah Testing Conference,Taqelah,https://ttc.taqelah.sg/
evidence-learning,ev-ucf-tlwai,evt-teaching-and-learning-with-ai-conference,Teaching and Learning with AI Conference,University of Central Florida Faculty Center / Division of Digital Learning / Libraries,https://aiforall.ucf.edu/teachwithai/
skeptic-education,evt-ucf-tlai,evt-teaching-and-learning-with-ai-conference,Teaching and Learning with AI Conference,University of Central Florida Faculty Center for Teaching and Learning; Division of Digital Learning; UCF Libraries,https://aiforall.ucf.edu/teachwithai/
skeptic-education,evt-teaching-professor,evt-teaching-professor-conference,Teaching Professor Conference,Magna Publications,https://www.magnapubs.com/teaching-professor-conference-2027/
benchmarks,evt-testbash,evt-testbash-ministry-of-testing,TestBash / Ministry of Testing,Ministry of Testing,https://www.ministryoftesting.com/events
benchmarks,evt-testcon,evt-testcon-europe,TestCon Europe,Software Development Academy / TestCon,https://testcon.lt/
benchmarks,evt-testingunited,evt-testing-united,Testing United,Testing United,https://testingunited.com/
retrieval,ev-trec,evt-text-retrieval-conference,Text REtrieval Conference,National Institute of Standards and Technology,https://trec.nist.gov/
adaptive-systems,evt-thinkai,evt-think-ai-summit,Think!AI Summit,Pittsburgh Technology Council,https://www.pghtech.org/events/ThinkAI2027-Call-for-Speakers
benchmarks,evt-thinkai,evt-think-ai-summit,Think!AI Summit,Pittsburgh Technology Council,https://www.pghtech.org/events/ThinkAI2027-Call-for-Speakers
free-tier,ev-tokenomicon-amsterdam,evt-tokenomicon-amsterdam,Tokenomicon Amsterdam,Tokenomics Foundation,https://www.tokenomicon.com/amsterdam
free-tier,ev-tokenomicon-x,evt-tokenomicon-finops-x,Tokenomicon + FinOps X,FinOps Foundation and Tokenomics Foundation,https://www.tokenomicon.com/
free-tier,ev-tokenomicon-london,evt-tokenomicon-london,Tokenomicon London,Tokenomics Foundation,https://www.tokeneconomics.com/
skeptic-education,evt-training-conf,evt-training-conference-and-expo,Training Conference and Expo,Training magazine / Lakewood Media Group,https://www.trainingconference.com/2027/
evidence-learning,ev-upcea-dtl,evt-upcea-digital-teaching-and-learning-conference,UPCEA Digital Teaching & Learning Conference,UPCEA,https://conferences.upcea.edu/DTL2027/
skeptic-education,evt-upcea-dtl,evt-upcea-digital-teaching-and-learning-conference,UPCEA Digital Teaching & Learning Conference,UPCEA,https://conferences.upcea.edu/
evidence-learning,ev-usdla,evt-usdla-national-conference,USDLA National Conference,United States Distance Learning Association,https://usdla.org/events/national-conference/
skeptic-education,evt-usdla-national,evt-usdla-national-conference,USDLA National Conference,United States Distance Learning Association,https://usdla.org/events/national-conference/
judgment,evt-ju-uxdx,evt-uxdx,UXDX,UXDX,https://uxdx.com/
product-engineering,evt-pe-uxdx,evt-uxdx,UXDX,UXDX,https://uxdx.com/
failure-improvement,evt-fi-vslive,evt-visual-studio-live,Visual Studio Live!,1105 Media,https://vslive.com/
parallelization,evt-pa-vslive,evt-visual-studio-live,Visual Studio Live!,1105 Media,https://vslive.com/
retrieval,ev-voxxed-lux,evt-voxxed-days-luxembourg,Voxxed Days Luxembourg,Voxxed Days Luxembourg organizers,https://luxembourg.voxxeddays.com/en/
evidence-learning,ev-wscuc-arc,evt-wscuc-accreditation-resource-conference,WSCUC Accreditation Resource Conference,WASC Senior College and University Commission,https://www.wscuc.org/arc2027/
